Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;Date de création;Date dernière MAJ;geo_shape;geo_point_2d
CP001576;;75008;9;2;ENEDIS;ENTRETIEN_RESEAU;remplacement du transformateur du  poste Alma .;Cours Albert 1er;coté Seine;2020-02-10;2020-12-23;RESTREINTE;Maintien d'une file de circulation. Le cours Albert 1er  sera fermé à la circulation générale coté seine du 25/05  22h jusqu'au 29/05/20 6h.;1;2;;2020-01-08;2020-11-26;"{""type"": ""Polygon"", ""coordinates"": [[[2.303542417671391, 48.86425574669943], [2.303785959262198, 48.86429742578744], [2.304017008425431, 48.86436050369923], [2.3042764643846, 48.8644291154118], [2.304555866152429, 48.864449254206825], [2.304914008448729, 48.86445133478184], [2.305004475042415, 48.86438204277149], [2.305006337770632, 48.86424241699041], [2.303541719652338, 48.86419630911251], [2.303542417671391, 48.86425574669943]]]}";48.8643159512,2.30438828134
CP001767;;75015;13;1;SAP;TRAVAUX_OUVRAGE;Création d'une bouche d'égout.;50 bd Pasteur;au carrefour avec la rue Falguière;2020-11-02;2021-01-29;BARRAGE_TOTAL;du barreau dans l'axe du terre-plein;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/A3 Pasteur 2.pdf;2020-10-21;2020-10-21;"{""type"": ""Polygon"", ""coordinates"": [[[2.313854339251996, 48.841536782511234], [2.314010903870904, 48.84138199819197], [2.3137601429606782, 48.841278561807066], [2.313656331723213, 48.84144170053082], [2.313854339251996, 48.841536782511234]]]}";48.8414077504,2.31382383823
CP001768;;75015;13;3;Station Total;REFECTION_CHAUSSEE;Réfection suite aux travaux de la station.;Rue Pégoud;côté quai d'Issy;2020-11-16;2020-12-11;RESTREINTE;Réduction ponctuelle de la piste cyclable;2;2;;2020-10-21;2020-10-21;"{""type"": ""Polygon"", ""coordinates"": [[[2.266779797820655, 48.83522362727835], [2.266869167460262, 48.83522954347117], [2.266888601073065, 48.83500418967104], [2.266803296806855, 48.83499829840978], [2.266779797820655, 48.83522362727835]]]}";48.8351147832,2.26683512499
CP000095;;75017;9;2;RATP L14;TRAVAUX_OUVRAGE;Prolongement L14 : Création de station;Porte de Clichy;;2014-01-01;2021-01-31;RESTREINTE;Réduction de la circulation selon les phases;2;2;;2016-12-22;2020-09-25;"{""type"": ""Polygon"", ""coordinates"": [[[2.312693386936966, 48.89456752099835], [2.313083652085111, 48.89439130017506], [2.312482189190201, 48.894164178550106], [2.312480353439326, 48.89416654762301], [2.312693386936966, 48.89456752099835]]]}";48.8943738587,2.31275180216
CP000762;;75014;12;3;Paris habitat;REHABILITATION_IMMEUBLE;démolition d'un bâtiment puis construction d'un autre immeuble.;26 av de l'Observatoire;;2018-08-01;2020-12-10;RESTREINTE;Neutralisation du couloir de bus. Maintien de 5m de circulation.;2;2;;2018-07-03;2020-11-18;"{""type"": ""Polygon"", ""coordinates"": [[[2.336528604906482, 48.83933034687275], [2.336590327181455, 48.83929594756593], [2.336580675651621, 48.83914788436506], [2.336514744616612, 48.83911658406991], [2.336410905663215, 48.8391179111294], [2.336419005956428, 48.83933116712791], [2.336528604906482, 48.83933034687275]]]}";48.8392242152,2.33649641366
CP001701;;75008;9;2;Eaux de Paris;TRAVAUX_OUVRAGE;Mise en sécurité de la galerie d'eau;Place de L'Alma;coté pont de l'Alma;2020-07-27;2021-04-30;RESTREINTE;l'accès au cours Albert 1er se fera uniquement par le pont de l'alma via place de la résistance .;1;2;;2020-07-24;2020-11-24;"{""type"": ""Polygon"", ""coordinates"": [[[2.301614230277162, 48.864114735089906], [2.301484071592289, 48.86432749374198], [2.301663959527602, 48.864360667403645], [2.301752540884602, 48.86411554211724], [2.301614230277162, 48.864114735089906]]]}";48.8642362818,2.30162713037
CP001761;;75013;14;1;SAP;ENTRETIEN_RESEAU;;Bd Vincent Auriol;à l'angle de la rue Chevaleret;2020-09-15;2021-04-30;RESTREINTE;Maintien d'une file de circulation.;1;2;;2020-10-16;2020-10-16;"{""type"": ""Polygon"", ""coordinates"": [[[2.367682350785605, 48.83472696830923], [2.367736279811144, 48.834638676495956], [2.367294650396819, 48.8345101851078], [2.367191215705172, 48.83465726729957], [2.367288499033139, 48.83468193896081], [2.36734207035411, 48.8346231707623], [2.367682350785605, 48.83472696830923]]]}";48.8346205192,2.36745692749
CP001772;;75002;11;3;SDI-SARL sc Oreina;REHABILITATION_IMMEUBLE;Curage et désamiantage;rue Montmartre;n°176;2020-11-23;2021-03-26;RESTREINTE;neutralisation du couloir bus.;2;2;;2020-10-26;2020-10-26;"{""type"": ""Polygon"", ""coordinates"": [[[2.342984198273261, 48.87104681474418], [2.342945503301763, 48.871083246860266], [2.342972562931738, 48.87116858180348], [2.343064308765762, 48.871158615251616], [2.343028960044315, 48.8710442050284], [2.342984198273261, 48.87104681474418]]]}";48.871108916,2.34300353061
CP001762;;75016;13;2;Climespace;RACCORDEMENT_RESEAU;Branchement particulier.;17 av Pierre 1er de Serbie;;2020-11-02;2020-11-27;RESTREINTE;Maintien d'une file par sens.;2;2;;2020-10-19;2020-10-19;"{""type"": ""Polygon"", ""coordinates"": [[[2.297204101150375, 48.8664850905395], [2.297363835755838, 48.86656883590993], [2.2974003368983302, 48.866536688037584], [2.297239147349039, 48.86645388568093], [2.297204101150375, 48.8664850905395]]]}";48.8665113555,2.2973023118
CP001600;;75018;9;3;Altana investissement;REHABILITATION_IMMEUBLE;démolition et reconstruction;rue du Mont Cenis;n°102;2019-11-19;2021-08-31;RESTREINTE;Maintien d'une file de circulation  report de l'arrêt bus en amont.;2;2;;2020-02-20;2020-02-20;"{""type"": ""Polygon"", ""coordinates"": [[[2.345887894135795, 48.89531560612577], [2.34595684094481, 48.89542900655625], [2.34601511635503, 48.895386494693376], [2.345971175305793, 48.89529345567358], [2.345887894135795, 48.89531560612577]]]}";48.8953554557,2.34595556588
CP001721;;75010;11;2;EDP;ENTRETIEN_RESEAU;Renouvellement de conduite, puits n°5;rue de Dunkerque;n°47;2020-10-05;2021-04-30;RESTREINTE;Modification de sens de circulation depuis la rue Rocroy jusqu'à la rue du Faubourg Poissonnière.;2;2;;2020-07-31;2020-10-05;"{""type"": ""Polygon"", ""coordinates"": [[[2.349941717135935, 48.88103899646621], [2.349940704788792, 48.8810623106349], [2.350314875807754, 48.880972017253576], [2.350326179944105, 48.88093353054947], [2.350326257115653, 48.88092734446648], [2.349944989716552, 48.88100808082895], [2.349943385409942, 48.88102092176664], [2.349941717135935, 48.88103899646621]]]}";48.8809939762,2.35012445475
CP001626;;75010;11;1;IGC;SONDAGES_INJECTIONS;Injections de sol;Rue Louis Blanc;entre la place du Colonel Fabien et le quai de Jemmapes;2020-06-29;2020-12-15;RESTREINTE;Maintien d'une file de circulation.;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR IGC rue Louis Blanc.pdf;2020-06-09;2020-06-09;"{""type"": ""Polygon"", ""coordinates"": [[[2.36982008109885, 48.87847176918995], [2.368095487546189, 48.87941015212704], [2.368159650192046, 48.87948832788913], [2.369912924483708, 48.878533991610375], [2.36982008109885, 48.87847176918995]]]}";48.8789763983,2.3689967022
CP001671;;75001;11;3;LOUVRE-SAINT HONORE;REHABILITATION_IMMEUBLE;;rue Marengo;n°1;2020-06-29;2024-06-30;RESTREINTE;Modification de s files de circulation;2;2;;2020-07-07;2020-07-07;"{""type"": ""Polygon"", ""coordinates"": [[[2.339184393412101, 48.861658039029976], [2.339061389585607, 48.86168829374776], [2.339170525908401, 48.86189829527489], [2.339232057554023, 48.861880788366435], [2.339288331746808, 48.86185135492416], [2.339184393412101, 48.861658039029976]]]}";48.861776142,2.3391763915
CP001683;;75004;11;2;CPCU;ENTRETIEN_RESEAU;;rue de Brosse /quai de l'Hotel de Ville;;2020-09-28;2021-03-26;RESTREINTE;maintien d'une file de circulation sur le quai au droit de l'emprise ,avec déviation  de la piste cyclable protégé  sur chaussée jusqu'au 16/12. le 16/01/21 modification des emprises jusqu'au 26/03/21;1;2;;2020-07-15;2020-07-15;"{""type"": ""Polygon"", ""coordinates"": [[[2.353790493994288, 48.855172730714784], [2.353646369060595, 48.8549867477771], [2.353582025288701, 48.854927349618315], [2.353369260474366, 48.855028196478436], [2.353446272897604, 48.85505008556377], [2.353511182773487, 48.85506385731071], [2.353548022028531, 48.85504526707201], [2.353576758641766, 48.855023949382286], [2.353737085998013, 48.85521538813998], [2.353790493994288, 48.855172730714784]]]}";48.8550500337,2.35360348663
CP000472;;75019;10;2;RATP;TRAVAUX_OUVRAGE;Adaptation de la station pour le prolongement de ligne 11.;rue de Belleville /rue Jourdain;;2017-11-27;2021-04-15;RESTREINTE;Maintien de deux files de circulation rue de Belleville, mise à sens unique de la rue Jourdain depuis la rue de Belleville vers et jusqu'à la rue des Pyrénées. Travaux de remise en état de la chaussée du 08/12 au 18/01/21;1;2;;2017-11-17;2020-11-10;"{""type"": ""Polygon"", ""coordinates"": [[[2.38964017624598, 48.875247345197245], [2.389659328131262, 48.875233382680854], [2.389575270368139, 48.87509115808541], [2.389532008546935, 48.87501619931905], [2.389485938317987, 48.874945769637925], [2.389449880057771, 48.87494439591429], [2.3894039135370813, 48.875019115455174], [2.389254377847224, 48.87531221947158], [2.38941126154254, 48.87531539942316], [2.38956707069337, 48.8753290653032], [2.38964017624598, 48.875247345197245]]]}";48.8751759621,2.38946523114
CP000953;;75008;9;3;Hôtel de la Marine;REHABILITATION_IMMEUBLE;Emprise base vie pour la réhabilitation du batiment;Place de la Concorde;Au N°2;2018-12-03;2021-04-09;RESTREINTE;Neutralisation d'une file de circulation;2;2;;2018-11-09;2020-09-07;"{""type"": ""Polygon"", ""coordinates"": [[[2.323465008654434, 48.86649735019573], [2.323267391651831, 48.866439124514116], [2.322597493266842, 48.866642353494626], [2.322683493129361, 48.86668567155435], [2.322708043032125, 48.86673935033569], [2.323465008654434, 48.86649735019573]]]}";48.8665800139,2.32301274728
CP001358;;75016;13;3;Ambassade Côte d¿Ivoire;REHABILITATION_IMMEUBLE;;Rue Léonard de Vinci;N° 18;2019-06-17;2020-12-11;RESTREINTE;neutralisation du stationnement et renvoi des piétons en vis à vis;2;2;;2019-06-04;2020-09-18;"{""type"": ""Polygon"", ""coordinates"": [[[2.285904839850212, 48.87062221771063], [2.285952217613009, 48.87058680709889], [2.285872696235061, 48.87046735635177], [2.285803889885082, 48.8704871721175], [2.285904839850212, 48.87062221771063]]]}";48.8705398213,2.28588167345
CP001373;;75012;14;2;SNCF;REAMENAGEMENT_SECTEUR;Intermodalité Chalon/ Gare de Lyon;rue de Chalon /Rambouillet;;2019-06-11;2020-11-30;RESTREINTE;maintien de deux files de circulation selon le phasage .Fermeture du tourne à droite de 10h à 16h .;1;2;;2019-06-12;2020-09-07;"{""type"": ""Polygon"", ""coordinates"": [[[2.378955744539419, 48.843394498753156], [2.378773684758793, 48.843315713916894], [2.378768755278903, 48.84338815960166], [2.378719702825474, 48.84340937797104], [2.37761431055265, 48.84402903762137], [2.377614022075559, 48.84405319380237], [2.377503618799261, 48.84410361752764], [2.377336158323708, 48.844164481637016], [2.377411912934784, 48.84429103076767], [2.3788529009150152, 48.8434932783664], [2.378955744539419, 48.843394498753156]]]}";48.8438017211,2.37815610637
CP001421;;75016;13;3;Maison de la Radio;REHABILITATION_IMMEUBLE;installation de la base vie;Rue  Boullainvilliers;du n°2 au n°10;2019-07-01;2024-12-31;RESTREINTE;Modification des files de circulation .;2;2;;2019-06-27;2019-06-27;"{""type"": ""Polygon"", ""coordinates"": [[[2.278087968773189, 48.85165200691029], [2.278005620021254, 48.8516098677418], [2.276937983388898, 48.852153100104196], [2.277031015931084, 48.85220482339153], [2.277203537312671, 48.85224512825189], [2.277277016258524, 48.852146820346], [2.277364653873166, 48.852067633802186], [2.277497476879536, 48.85198039195424], [2.277631837054627, 48.85191219603773], [2.2778039222536828, 48.8518537456313], [2.277986543962677, 48.85181558521849], [2.277974533897984, 48.85177149075412], [2.278032370887963, 48.8517611310494], [2.2781821795556922, 48.85174894738235], [2.278087968773189, 48.85165200691029]]]}";48.8519209581,2.27755078721
CP001430;;75017;9;2;SNCF EOLE;TRAVAUX_OUVRAGE;Création d'un puits de service;avenue Carnot;du n° 8 au n°22;2019-07-29;2022-01-31;BARRAGE_TOTAL;Circulation des véhicules dans les contre-allées, inversion de sens de circulation de la rue Anatole de la Forge.;1;2;;2019-07-02;2019-07-02;"{""type"": ""Polygon"", ""coordinates"": [[[2.293696727494663, 48.875383159703915], [2.293522494989716, 48.875328449850954], [2.292641762207998, 48.87635930706683], [2.2928076771991632, 48.87642738896379], [2.293696727494663, 48.875383159703915]]]}";48.8758758381,2.29316631307
CP001515;;75017;9;1;Ville de Neuilly;REAMENAGEMENT_VOIRIE;Réaménagement du carrefour.;Place de verdun;à l'angle avec l'Av Charles de Gaulle (Neuilly).;2019-02-25;2021-06-30;RESTREINTE;Circulation modifiée selon les phases.;1;2;;2019-09-30;2020-01-29;"{""type"": ""Polygon"", ""coordinates"": [[[2.280128127476115, 48.87903007478557], [2.280312017151228, 48.878974814273725], [2.280114855991134, 48.878812584001395], [2.279982654352119, 48.87866148041278], [2.27963751884283, 48.87833519454867], [2.279213057631875, 48.878506343693715], [2.279613578698954, 48.87902272841121], [2.279954751846967, 48.87891361620374], [2.280048006656494, 48.878938334239415], [2.280128127476115, 48.87903007478557]]]}";48.8787056834,2.27970699394
CP001787;282875;75014;12;2;RATP;TRAVAUX_OUVRAGE;Evacuation de ventilateurs.;face au 3 bd Edgar Quinet;le long du terre-plein central.;2020-11-30;2020-12-04;RESTREINTE;Maintien d'une file de 3m.;2;2;;2020-11-04;2020-11-04;"{""type"": ""Polygon"", ""coordinates"": [[[2.327782765699779, 48.840138071220835], [2.327927560653321, 48.84009176968171], [2.327906276133814, 48.840064998260495], [2.327765054094331, 48.840113700477204], [2.327782765699779, 48.840138071220835]]]}";48.8401017125,2.32784676399
CP001802;;75010;11;2;SNCF;INSPECTION_SONDAGE_RESEAU;Sondage géotechnique BI POLE;rue de L'acqueduc et rue La Fayette;n°5/7Acqueduc , 168/169 La Fayette;2020-11-23;2021-01-18;RESTREINTE;Modification des files de circulation selon le phasage;2;2;;2020-11-20;2020-11-20;"{""type"": ""Polygon"", ""coordinates"": [[[2.358580092029738, 48.87984219659846], [2.358742602164094, 48.87986992032303], [2.358995335771722, 48.879844420657044], [2.359012612226389, 48.879763956424604], [2.358736773984236, 48.87968192158226], [2.358425987821189, 48.87979303716169], [2.358580092029738, 48.87984219659846]]]}";48.8797859922,2.35875042088
CP001782;233157;75006;12;2;GrDF;ENTRETIEN_RESEAU;;Rue Férou;entre la rue du Canivet et la rue de Vaugirard.;2020-10-26;2020-12-18;BARRAGE_TOTAL;;2;2;;2020-11-03;2020-11-03;"{""type"": ""Polygon"", ""coordinates"": [[[2.333991439530477, 48.85014603429263], [2.334044309690403, 48.85014632858192], [2.334043927784573, 48.84953971104514], [2.334135983908795, 48.849019500055505], [2.334087250962433, 48.84901386055308], [2.3339984029558822, 48.84960119321034], [2.334002504785394, 48.84959853145778], [2.333999657702453, 48.849821299292586], [2.333991439530477, 48.85014603429263]]]}";48.8495920284,2.33404336201
CP001798;;75015;13;2;Climespace;CREATION_RESEAUX;;Boulevard de Grenelle;depuis la place Marcel Cerdan jusqu'à la place des martyrs juifs .;2020-11-09;2021-03-17;RESTREINTE;Maintien de  la piste cyclable et une file de circulation en permanence .;1;2;;2020-11-13;2020-11-13;"{""type"": ""Polygon"", ""coordinates"": [[[2.292259474001041, 48.85100962953908], [2.288879557418607, 48.854509914319], [2.288960242230062, 48.854558708270744], [2.29239744638353, 48.851037298729594], [2.292259474001041, 48.85100962953908]]]}";48.8527054399,2.29069559473
CP001763;;75016;13;2;CPCU;TRAVAUX_OUVRAGE;Réhabilitation d'une chambre.;1-3 rue du Docteur Germain Sée;;2020-10-26;2020-12-23;RESTREINTE;Maintien d'une file de circulation.;2;2;;2020-10-19;2020-10-19;"{""type"": ""Polygon"", ""coordinates"": [[[2.2807819924738, 48.85296478062188], [2.280633867063429, 48.85303765666416], [2.2806601341949992, 48.85306779658323], [2.280824183715353, 48.852990733465894], [2.2807819924738, 48.85296478062188]]]}";48.8530149543,2.28072629875
CP001565;;75018;9;3;Immobilière  3F;CONSTRUCTION_IMMEUBLE;;Rue du Poteau;N°106;2020-01-06;2021-04-30;RESTREINTE;neutralisation de la voie bus;2;2;;2019-12-03;2019-12-30;"{""type"": ""Polygon"", ""coordinates"": [[[2.3376812938447, 48.897636979456934], [2.337730510823177, 48.89759799006167], [2.337874885258089, 48.89745483164698], [2.337813780200519, 48.89743545790621], [2.3376236007844913, 48.897633090982154], [2.3376812938447, 48.897636979456934]]]}";48.8975371569,2.33775284317
CP001630;;75007;12;2;CPCU;INSPECTION_ENTRETIEN_RESEAU;;rue Las Cases;du n°2 au n°8;2020-06-29;2020-12-18;RESTREINTE;maintien d'une file de circulation de 3.50ml au droit de l'emprise;2;2;;2020-06-10;2020-11-03;"{""type"": ""Polygon"", ""coordinates"": [[[2.322366233304198, 48.85784843674086], [2.322330391180901, 48.85783157685229], [2.321823271873842, 48.858004551716405], [2.321846146340377, 48.85802038675077], [2.322366233304198, 48.85784843674086]]]}";48.8579233063,2.32210032938
CP000139;;75013;14;3;SEMAPA;REAMENAGEMENT_SECTEUR;;Secteur quai d'Ivry;;2012-01-01;2020-12-31;RESTREINTE;Réduction de la circulation selon les phases;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/2014_05_QuartierBruneseau_13eme_SEMAPA.pdf;2016-12-23;2017-06-26;"{""type"": ""Polygon"", ""coordinates"": [[[2.386040410939927, 48.827260459509624], [2.388913322878128, 48.82505168626667], [2.381913601308459, 48.82268480304112], [2.37972501346501, 48.824789551026136], [2.382560534273685, 48.82574947645587], [2.386040410939927, 48.827260459509624]]]}";48.8249361129,2.3842583549
CP000405;;75019;10;2;RATP;TRAVAUX_OUVRAGE;Adaptation de la station Porte des Lilas en vue du prolongement de la ligne 11;Av de la Porte des Lilas;;2017-10-26;2020-12-15;RESTREINTE;Maintien de 2 files de circulation dans chaque sens;1;2;;2017-09-14;2017-10-23;"{""type"": ""Polygon"", ""coordinates"": [[[2.406983699710445, 48.877040484443604], [2.406780803236834, 48.87734814526721], [2.408279824378731, 48.87792995207227], [2.408598081677292, 48.87749670817099], [2.408241162806398, 48.87739294966936], [2.408077943618673, 48.87743240390899], [2.406983699710445, 48.877040484443604]]]}";48.8774829595,2.4077033877
CP000971;;75017;9;2;EOLE;TRAVAUX_OUVRAGE;Création d'une nouvelle gare RER E et percement du tunnel;Porte Maillot;;2017-12-01;2021-12-31;RESTREINTE;Modification de la circulation selon les phases. Mise en place de la circulation à double sens à partir du 22/08/19.;1;2;;2018-11-23;2019-08-23;"{""type"": ""Polygon"", ""coordinates"": [[[2.281210774423776, 48.87845552088945], [2.281843964879394, 48.87865373501512], [2.282215481255645, 48.87869688670718], [2.282837153617556, 48.87860856146873], [2.283414504896833, 48.878356272516456], [2.283836670656454, 48.87810305338323], [2.284155304819059, 48.87749121221985], [2.283973125710321, 48.877203657401495], [2.283649292202913, 48.87706874432277], [2.28323192005384, 48.87697419484342], [2.282705802296034, 48.876889196273794], [2.282038002575575, 48.87694652539777], [2.281601639658295, 48.877107602060725], [2.281257805187676, 48.87728964055456], [2.280879943659173, 48.87770681143538], [2.280828995219532, 48.87802358330166], [2.280902689786198, 48.87830028726154], [2.281210774423776, 48.87845552088945]]]}";48.8777770214,2.28245214251
CP001167;;75014;12;2;RATP;TRAVAUX_OUVRAGE;Création d'un ouvrage de ventilation.;Av Denfert Rochereau;face à l'Hôpital St Vincent de Paul.;2019-03-26;2021-05-31;RESTREINTE;Maintien d'une file de circulation dans chaque sens.;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/RERB_DenfertRochereau-PortRoyal_Ventilation_Mars19FÃ©v21.pdf;2019-03-04;2020-11-19;"{""type"": ""Polygon"", ""coordinates"": [[[2.335057212994862, 48.83703343356521], [2.335201953416858, 48.83699021580199], [2.334476192253176, 48.83623780062177], [2.334367466815777, 48.836283597683554], [2.334371035515558, 48.836427582268044], [2.334967237224935, 48.837022225469845], [2.335057212994862, 48.83703343356521]]]}";48.8366534498,2.3347428614
CP001304;;75016;13;1;Mission Tram;TRAVAUX_TRAMWAY;;Bd Bruix;entre la Porte Maillot et la Porte Dauphine.;2019-06-12;2023-12-29;RESTREINTE;Modification des emprises selon le phasage.;1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/2 INFOS RIVERAINS - Boulevard Lannes - 16Ã¨me.pdf;2019-05-07;2019-08-26;"{""type"": ""Polygon"", ""coordinates"": [[[2.282587176149617, 48.87673101609813], [2.282791822172431, 48.87665168382466], [2.282590726757685, 48.87647325095282], [2.282454688434306, 48.87630057765371], [2.282180248824757, 48.87612707433623], [2.281264717613463, 48.87579934654048], [2.280032948891074, 48.87537841050356], [2.278893281000911, 48.87477541724447], [2.27830321591264, 48.8744657389673], [2.277532095601689, 48.8737092067476], [2.277340361791119, 48.873444891203214], [2.276383150126895, 48.872606668194464], [2.275689384527623, 48.87214597228412], [2.2758799069872993, 48.87191081909824], [2.276005825002823, 48.871637680343035], [2.275911122648476, 48.871422284171445], [2.275816122438306, 48.87122836787515], [2.275396097094305, 48.87098951979143], [2.274851574794821, 48.870921774952045], [2.274196736216298, 48.87117559484153], [2.273999116977165, 48.87133551439005], [2.27387154219417, 48.8717267936889], [2.274053838511147, 48.87208235795445], [2.274490746074458, 48.87227834836008], [2.275451658855188, 48.8722626860328], [2.27802626890296, 48.874474809797384], [2.27904372580083, 48.87508244647071], [2.280176150979963, 48.875620947622885], [2.28213680359129, 48.87632552435296], [2.282587176149617, 48.87673101609813]]]}";48.8729281599,2.27666842455
CP001792;;75010;11;1;DVD - SSOA;TRAVAUX_OUVRAGE;Restauration de la passerelle Bichat;Quai de Valmy;En vis à vis du n°93 au n°97;2020-11-02;2021-07-30;RESTREINTE;;2;2;;2020-11-09;2020-11-09;"{""type"": ""Polygon"", ""coordinates"": [[[2.3631119613180243, 48.87374122729826], [2.363000232941788, 48.87388823004383], [2.362913392103443, 48.87404998203577], [2.362883700170021, 48.87412555978606], [2.3628819396587453, 48.87420305428506], [2.362932223720369, 48.874220930004995], [2.362923326985004, 48.87435841718096], [2.362988277689971, 48.87435685984123], [2.363002287955376, 48.874214163939236], [2.363055754837346, 48.874030751889954], [2.3630720220539843, 48.873998476739644], [2.363083808121067, 48.87397855170785], [2.363169220128495, 48.873955687250984], [2.363224239762239, 48.87394027484065], [2.363242478407019, 48.873923715258385], [2.363263789286958, 48.87389194355725], [2.363291586325245, 48.873860682100734], [2.363304804373208, 48.87384171615974], [2.363137326846662, 48.87379085632337], [2.3631157835254832, 48.87378265127514], [2.363150277590731, 48.87373476887347], [2.3631119613180243, 48.87374122729826]]]}";48.8740075253,2.36304817515
CP001733;;75008;9;1;STV;REAMENAGEMENT_VOIRIE;Traversées de chaussées pour les réseaux EP et SLT, aménagement de la place;Place Saint Augustin;;2020-09-21;2021-01-29;RESTREINTE;Circulation modifié selon les phases.;1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/LAR STVNO Saint-Augustin (amÃ©nagement).pdf;2020-09-04;2020-10-05;"{""type"": ""Polygon"", ""coordinates"": [[[2.319865389350294, 48.87527853582605], [2.32004898555859, 48.874935863966904], [2.32053682933415, 48.87498696900808], [2.3205626542120212, 48.87487970479967], [2.320388592733119, 48.87449203669713], [2.320014938798946, 48.874425468942825], [2.31993205543629, 48.87453777889177], [2.319241388157048, 48.87443181307815], [2.319212542516304, 48.874769993216525], [2.319429338502531, 48.8750021601641], [2.319304973585156, 48.87517331048442], [2.319865389350294, 48.87527853582605]]]}";48.8747995485,2.31983049047
CP001663;;75008;9;3;SAS Domus Saint Honoré;REHABILITATION_IMMEUBLE;;rue du Faubourg Saint Honoré;n°128;2020-07-15;2021-12-17;RESTREINTE;modification des files de circulation au droit de l'emprise;2;2;;2020-07-06;2020-07-06;"{""type"": ""Polygon"", ""coordinates"": [[[2.312718233804942, 48.8722870153063], [2.312641516364344, 48.87222351740741], [2.312420426582367, 48.872303151551826], [2.312488173108466, 48.872363028574085], [2.312718233804942, 48.8722870153063]]]}";48.8722937521,2.31256863504
CP001502;;75008;9;3;Sas Monceau-Murillo;REHABILITATION_IMMEUBLE;;rue Murillo;n°14;2019-10-07;2021-04-30;RESTREINTE;Maintien d'une file de circulation de 3.50ml au droit de l'emprise.;2;2;;2019-09-16;2019-09-16;"{""type"": ""Polygon"", ""coordinates"": [[[2.307743403994211, 48.87788820278149], [2.307752282723347, 48.87781734490519], [2.307554703582579, 48.8778085875269], [2.307560969599917, 48.87788000964072], [2.307743403994211, 48.87788820278149]]]}";48.8778480649,2.3076528734
CP001747;;75014;12;2;RATP;TRAVAUX_OUVRAGE;réfection de l'étanchéité de la station du RER B;PLace Denfert -Rochereau;;2020-10-26;2021-12-24;RESTREINTE;modification des files de circulation selon le phasage.;1;2;;2020-09-24;2020-09-24;"{""type"": ""Polygon"", ""coordinates"": [[[2.332694529958236, 48.83410967275304], [2.33287628181304, 48.83420463223824], [2.333105331110629, 48.83409854264187], [2.333187225341848, 48.83403553060866], [2.333233082911436, 48.83396504621476], [2.333319355464011, 48.83375012679508], [2.333541997005641, 48.83363416779081], [2.333196213120621, 48.83319201610547], [2.332946120667452, 48.83330008231792], [2.332694529958236, 48.83410967275304]]]}";48.8337037161,2.3330793371
CP001717;;75010;11;2;EDP;ENTRETIEN_RESEAU;"Renouvellement de conduite; puits P1bis";rue de l'Aqueduc;du n°11 au n°7;2020-11-23;2021-01-21;SENS_UNIQUE;depuis la rue Demarquay vers et jusqu'à la rue La Fayette;1;2;;2020-07-31;2020-11-16;"{""type"": ""Polygon"", ""coordinates"": [[[2.359123422256182, 48.88008222594966], [2.358927971689119, 48.87998718947113], [2.358897235777643, 48.87999297395918], [2.358678453176526, 48.87988829448716], [2.358589733274993, 48.879915183150445], [2.358844414303494, 48.88003433193072], [2.358847743718883, 48.88005695535763], [2.35904678747664, 48.880153200113945], [2.359123422256182, 48.88008222594966]]]}";48.8800218277,2.35888528026
CP000412;;75002;11;3;OPPIC;REHABILITATION_IMMEUBLE;Réhabilitation de la BNF;rue des Petits Champs;n°8;2017-09-22;2020-12-31;RESTREINTE;fermeture de la rue Feuillade et la rue des Petits champs depuis la place des victoires jusqu'à la rue saint Anne, sauf riverains, bus et desserte locale;1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/2017_09_Vivienne_2eme_BNF.pdf;2017-09-18;2020-09-28;"{""type"": ""Polygon"", ""coordinates"": [[[2.338609058863526, 48.86640952093514], [2.338569916058014, 48.86636766317272], [2.33807247681959, 48.86648626883535], [2.33814054757423, 48.866522337568824], [2.33860724038438, 48.86641070071882], [2.338609058863526, 48.86640952093514]]]}";48.8664464808,2.33834758357
